symptom_id,symptom_name,symptom_name_hi,symptom_name_gu,body_system,symptom_category,severity_level,emergency_flag,common_in_children,common_in_adults,common_in_elderly,description,source
S000001,Fever,बुखार,તાવ,General,General,Medium,No,Yes,Yes,Yes,"Elevated body temperature above normal range, often signaling infection or inflammation.",Draft - pending clinical review
S000002,High Fever (above 103°F/39.4°C),तेज़ बुखार,ઊંચો તાવ,General,General,High,Yes,Yes,Yes,Yes,"Very high body temperature that needs prompt medical attention, especially in young children.",Draft - pending clinical review
S000003,Chills,ठंड लगना,ઠંડી લાગવી,General,General,Low,No,Yes,Yes,Yes,"A feeling of coldness with shivering, often accompanying fever.",Draft - pending clinical review
S000004,Night Sweats,रात को पसीना आना,રાત્રે પરસેવો થવો,General,General,Medium,No,No,Yes,Yes,Excessive sweating during sleep unrelated to room temperature; can indicate infection or other conditions.,Draft - pending clinical review
S000005,Fatigue,थकान,થાક,General,General,Low,No,Yes,Yes,Yes,A persistent feeling of tiredness or lack of energy not relieved by rest.,Draft - pending clinical review
S000006,Weakness,कमजोरी,નબળાઈ,General,General,Medium,No,Yes,Yes,Yes,"Reduced strength in the body, distinct from general tiredness.",Draft - pending clinical review
S000007,Unexplained Weight Loss,बिना कारण वजन घटना,અકારણ વજન ઘટવું,General,General,Medium,No,Yes,Yes,Yes,"Losing weight without trying, which can point to several underlying conditions.",Draft - pending clinical review
S000008,Unexplained Weight Gain,बिना कारण वजन बढ़ना,અકારણ વજન વધવું,General,General,Low,No,Yes,Yes,Yes,Gaining weight without a clear change in diet or activity.,Draft - pending clinical review
S000009,Loss of Appetite,भूख न लगना,ભૂખ ન લાગવી,General,General,Low,No,Yes,Yes,Yes,"Reduced desire to eat, which may accompany illness or emotional stress.",Draft - pending clinical review
S000010,Excessive Thirst,अत्यधिक प्यास लगना,વધુ પડતી તરસ લાગવી,General,General,Medium,No,Yes,Yes,Yes,Unusual or persistent thirst that may indicate dehydration or a metabolic condition.,Draft - pending clinical review
S000011,Generalized Body Ache,पूरे शरीर में दर्द,આખા શરીરમાં દુખાવો,General,General,Low,No,Yes,Yes,Yes,"Widespread muscle or body pain, common with viral infections.",Draft - pending clinical review
S000012,Malaise,अस्वस्थता महसूस होना,અસ્વસ્થતા અનુભવવી,General,General,Low,No,Yes,Yes,Yes,A general feeling of discomfort or being unwell without specific symptoms.,Draft - pending clinical review
S000013,Dehydration,शरीर में पानी की कमी,શરીરમાં પાણીની ઉણપ,General,General,Medium,Yes,Yes,Yes,Yes,Loss of body fluids beyond what is taken in; can become serious if not corrected.,Draft - pending clinical review
S000014,Pale Skin (Pallor),त्वचा का पीलापन/फीकापन,ત્વચાનું ફિક્કાપણું,General,General,Medium,No,Yes,Yes,Yes,"Unusual paleness of the skin, sometimes linked to anemia or poor circulation.",Draft - pending clinical review
S000015,Yellowing of Skin or Eyes (Jaundice),पीलिया,કમળો,General,General,High,Yes,Yes,Yes,Yes,"Yellow discoloration of skin and eyes, usually indicating a liver or blood-related problem.",Draft - pending clinical review
S000016,Excessive Sweating,अत्यधिक पसीना आना,વધુ પડતો પરસેવો,General,General,Low,No,Yes,Yes,Yes,"Sweating more than usual, unrelated to heat or exercise.",Draft - pending clinical review
S000017,Growth Failure in Children (Failure to Thrive),बच्चे का सही विकास न होना,બાળકનો યોગ્ય વિકાસ ન થવો,General,General,Medium,Yes,Yes,No,No,Slower than expected growth or weight gain in an infant or child.,Draft - pending clinical review
S000018,Generalized Swelling (Edema),शरीर में सूजन,શરીરમાં સોજો,General,General,Medium,No,Yes,Yes,Yes,"Fluid buildup causing puffiness anywhere in the body, often in legs or face.",Draft - pending clinical review
S000019,Cold Intolerance,ठंड बर्दाश्त न होना,ઠંડી સહન ન થવી,General,General,Low,No,No,Yes,Yes,Feeling unusually cold compared to others in the same environment; linked to thyroid issues.,Draft - pending clinical review
S000020,Heat Intolerance,गर्मी बर्दाश्त न होना,ગરમી સહન ન થવી,General,General,Low,No,No,Yes,Yes,Feeling unusually hot or sweating excessively in normal temperatures; linked to thyroid issues.,Draft - pending clinical review
S000021,Recurrent Infections,बार-बार संक्रमण होना,વારંવાર ચેપ લાગવો,General,General,Medium,No,Yes,Yes,Yes,"Getting infections more often than usual, which may point to a weakened immune system.",Draft - pending clinical review
S000022,Severe Dehydration with Reduced Consciousness,गंभीर पानी की कमी के साथ बेहोशी जैसी स्थिति,ગંભીર પાણીની ઉણપ સાથે બેભાનતા,General,General,High,Yes,Yes,Yes,Yes,Severe fluid loss causing confusion or reduced alertness; needs urgent medical attention.,Draft - pending clinical review
S000023,Dry Cough,सूखी खांसी,સૂકી ઉધરસ,Respiratory,Respiratory,Low,No,Yes,Yes,Yes,"A cough that does not produce mucus, often from irritation or viral infection.",Draft - pending clinical review
S000024,Productive Cough (with Mucus),बलगम वाली खांसी,કફ સાથેની ઉધરસ,Respiratory,Respiratory,Medium,No,Yes,Yes,Yes,"A cough that brings up mucus or phlegm, often related to chest infection.",Draft - pending clinical review
S000025,Coughing Up Blood (Hemoptysis),खांसी में खून आना,ઉધરસમાં લોહી આવવું,Respiratory,Respiratory,High,Yes,No,Yes,Yes,"Coughing up blood or blood-streaked mucus, which always needs prompt medical evaluation.",Draft - pending clinical review
S000026,Shortness of Breath,सांस फूलना,શ્વાસ ચઢવો,Respiratory,Respiratory,Medium,No,Yes,Yes,Yes,Difficulty breathing or a feeling of not getting enough air during normal activity.,Draft - pending clinical review
S000027,Severe Difficulty Breathing,सांस लेने में गंभीर तकलीफ,શ્વાસ લેવામાં ગંભીર તકલીફ,Respiratory,Respiratory,High,Yes,Yes,Yes,Yes,"Marked struggle to breathe, even at rest — a medical emergency.",Draft - pending clinical review
S000028,Wheezing,सांस के साथ सीटी जैसी आवाज़,શ્વાસમાં સીટી જેવો અવાજ,Respiratory,Respiratory,Medium,No,Yes,Yes,Yes,"A high-pitched whistling sound while breathing, often linked to narrowed airways.",Draft - pending clinical review
S000029,Chest Tightness,छाती में जकड़न,છાતીમાં જકડાટ,Respiratory,Respiratory,Medium,No,No,Yes,Yes,"A sensation of pressure or constriction in the chest, often with breathing difficulty.",Draft - pending clinical review
S000030,Rapid Breathing,तेज़ सांस लेना,ઝડપી શ્વાસ લેવો,Respiratory,Respiratory,Medium,No,Yes,Yes,Yes,"Breathing faster than normal, which can indicate infection, fever, or distress.",Draft - pending clinical review
S000031,Noisy Breathing (Stridor),सांस लेते समय घरघराहट की आवाज़,શ્વાસ લેતી વખતે ઘરઘરાટીનો અવાજ,Respiratory,Respiratory,High,Yes,Yes,No,Yes,"A harsh, high-pitched sound during breathing that can signal airway blockage.",Draft - pending clinical review
