disease_id,disease_name,disease_name_hi,disease_name_gu,category,category_icon,priority,icd_code,communicable,outbreak_prone,specialist,urgency,symptoms,medicines,tests,diet
CVD001,Hypertension (High Blood Pressure),हाई ब्लड प्रेशर / उच्च रक्तचाप (Hypertension),હાઈ બ્લડ પ્રેશર (Hypertension),Cardiovascular Diseases,,Very High,I10,False,False,Cardiologist / General Physician,Moderate Attention (Regular Monitoring),"['Headache', 'Dizziness', 'Shortness of breath', 'Chest discomfort', 'Blurred vision', 'Fatigue']","['Amlodipine 5mg', 'Telmisartan 40mg', 'Hydrochlorothiazide 12.5mg']","['Blood Pressure Monitoring', 'Lipid Profile', 'ECG', 'Serum Creatinine']","Low sodium DASH diet, high potassium fruits, avoid processed and salty foods."
CVD002,Ischemic Heart Disease (IHD),इस्केमिक हृदय रोग (Ischemic Heart Disease),ઇસ્કેમિક હૃદય રોગ (IHD),Cardiovascular Diseases,,Very High,I25.9,False,False,Cardiologist,Urgent Clinical Attention,"['Chest pain (Angina)', 'Shortness of breath', 'Pain radiating to left arm/jaw', 'Cold sweat', 'Dizziness']","['Aspirin 75mg', 'Atorvastatin 20mg', 'Sorbitrate (Isosorbide Dinitrate)', 'Metoprolol 25mg']","['12-Lead ECG', 'Troponin I/T', '2D Echocardiogram', 'Coronary Angiography']","Low fat, zero trans-fat heart-healthy Mediterranean diet with nuts and fiber."
CVD003,Coronary Artery Disease (CAD),कोरोनरी आर्टरी रोग (Coronary Artery Disease),કોરોનરી આર્ટરી ડિસીઝ (CAD),Cardiovascular Diseases,,Very High,I25.1,False,False,Cardiologist,Urgent Clinical Attention,"['Chest tightness', 'Shortness of breath with exertion', 'Fatigue', 'Heart palpitations']","['Clopidogrel 75mg', 'Atorvastatin 40mg', 'Rosuvastatin 10mg']","['CT Coronary Angiogram', 'Lipid Profile', 'ECG', 'TMT Stress Test']","Strict low cholesterol, rich in garlic, omega-3, leafy greens and oats."
CVD004,Acute Myocardial Infarction (Heart Attack),हार्ट अटैक / मायोकार्डियल इन्फ्रक्शन (Heart Attack),હાર્ટ એટેક (Heart Attack),Cardiovascular Diseases,,Very High,I21.9,False,False,Interventional Cardiologist / Emergency Physician,Critical / Emergency Immediate Hospitalization,"['Severe crushing chest pain', 'Pain radiating to jaw, neck, left arm', 'Shortness of breath', 'Cold sweating', 'Nausea', 'Fainting']","['Aspirin 300mg chewable', 'Clopidogrel 300mg', 'Atorvastatin 80mg', 'Sublingual Nitroglycerin']","['Emergency 12-Lead ECG', 'High-Sensitivity Troponin-T/I', 'Emergency Angiography']",Emergency cardiac protocol; post-stabilization strict cardiac rehabilitation diet.
CVD005,Heart Failure,हार्ट फेलियर (Heart Failure),હાર્ટ ફેલિયર (Heart Failure),Cardiovascular Diseases,,High,I50.9,False,False,Cardiologist,Urgent Clinical Attention,"['Shortness of breath while lying flat (Orthopnea)', 'Swollen legs/ankles (Edema)', 'Rapid weight gain', 'Extreme fatigue']","['Furosemide (Lasix) 40mg', 'Spironolactone 25mg', 'Sacubitril/Valsartan', 'Dapagliflozin 10mg']","['NT-proBNP Serum Marker', 'Echocardiogram (EF Calculation)', 'Chest X-Ray']","Strict fluid restriction (< 1.5 L/day), strict low salt (< 2g/day)."
CVD006,Stroke (Cerebrovascular Accident),स्ट्रोक / लकवा / पक्षाघात (Brain Stroke),બ્રેઈન સ્ટ્રોક / લકવો (Stroke),Cardiovascular Diseases,,Very High,I64,False,False,Neurologist / Emergency Stroke Team,Critical / Emergency Immediate Hospitalization,"['Sudden facial drooping', 'Arm weakness or numbness', 'Slurred speech / difficulty speaking', 'Sudden severe headache', 'Loss of balance']","['tPA Thrombolysis (Within 4.5h window)', 'Aspirin 150mg', 'Atorvastatin 40mg', 'Mannitol']","['Emergency Non-Contrast Brain CT Scan', 'Brain MRI / MRA', 'Carotid Doppler']","Swallowing-safe soft diet, low sodium, neuro-protective nutrition."
CVD007,Cerebrovascular Disease,सेरेब्रोवास्कुलर रोग (Cerebrovascular Disease),સેરેબ્રોવાસ્ક્યુલર ડિસીઝ,Cardiovascular Diseases,,Very High,I67.9,False,False,Neurologist,Specialist Consultation,"['Transient ischemic attacks (Mini-strokes)', 'Memory decline', 'Dizziness', 'Visual disturbances']","['Clopidogrel 75mg', 'Atorvastatin 20mg', 'Cilostazol']","['Brain MRI MRA', 'Carotid Ultrasound', 'Lipid Profile']","Low sodium, plant-forward antioxidant diet."
CVD008,Rheumatic Heart Disease (RHD),रुमेटिक हृदय रोग (Rheumatic Heart Disease),રૂમેટિક હાર્ટ ડિસીઝ (RHD),Cardiovascular Diseases,,High,I09.9,False,False,Cardiologist,Specialist Consultation,"['History of sore throat / fever', 'Heart murmur', 'Joint pain and swelling', 'Shortness of breath']","['Benzathine Penicillin G (Prophylaxis)', 'Digoxin', 'Diuretics']","['ASO Titre Test', '2D Echocardiogram (Valvular assessment)', 'ECG']","Well-balanced protein and micronutrient diet, monitor salt."
CVD009,Congenital Heart Disease (CHD),जन्मजात हृदय रोग (Congenital Heart Disease),જન્મજાત હૃદય રોગ (CHD),Cardiovascular Diseases,,Medium,Q24.9,False,False,Pediatric Cardiologist,Specialist Consultation,"['Cyanosis (Bluish skin/lips)', 'Poor feeding in infants', 'Fast breathing', 'Heart murmur', 'Failure to thrive']","['Diuretics', 'Digoxin', 'Sildenafil (if pulmonary hypertension)']","['Pediatric Echocardiogram', 'Pulse Oximetry', 'Chest X-Ray']","Calorie-dense nutrition, frequent small feedings for infants."
CVD010,Peripheral Artery Disease (PAD),पेरिफेरल आर्टरी रोग (Peripheral Artery Disease),પેરિફેરલ આર્ટરી ડિસીઝ (PAD),Cardiovascular Diseases,,Medium,I73.9,False,False,Vascular Surgeon / Cardiologist,Specialist Consultation,"['Painful leg cramping while walking (Claudication)', 'Cold legs/feet', 'Weak pulse in legs', 'Hair loss on legs']","['Cilostazol 100mg', 'Aspirin 75mg', 'Atorvastatin 40mg']","['Ankle-Brachial Index (ABI)', 'Arterial Doppler Ultrasound of Legs']","Smoking cessation, low saturated fat diet, structured walking exercise."
