disease_id,symptom_id,weight,required
D0001,S000253,10,Yes
D0001,S000001,8,No
D0001,S000002,8,No
D0001,S000003,8,No
D0001,S000011,7,No
D0001,S000061,6,No
D0001,S000086,5,No
D0001,S000087,5,No
D0001,S000005,6,No
D0002,S000252,10,Yes
D0002,S000001,8,No
D0002,S000002,8,No
D0002,S000061,7,No
D0002,S000263,9,No
D0002,S000011,7,No
D0002,S000109,5,No
D0002,S000127,7,No
D0002,S000086,5,No
D0002,S000005,5,No
D0003,S000252,10,Yes
D0003,S000001,8,No
D0003,S000061,6,No
D0003,S000131,9,Yes
D0003,S000132,6,No
D0003,S000109,5,No
D0003,S000011,6,No
D0003,S000005,5,No
D0004,S000254,10,Yes
D0004,S000001,8,No
D0004,S000061,6,No
D0004,S000264,7,No
D0004,S000092,6,No
D0004,S000009,6,No
D0004,S000091,4,No
D0004,S000089,4,No
D0004,S000011,5,No
D0004,S000005,6,No
D0005,S000089,9,Yes
D0005,S000107,9,Yes
D0005,S000087,7,No
D0005,S000013,8,No
D0005,S000102,5,No
D0006,S000015,9,Yes
D0006,S000258,7,No
D0006,S000009,6,No
D0006,S000086,6,No
D0006,S000005,6,No
D0006,S000092,5,No
D0007,S000015,8,No
D0007,S000005,6,No
D0007,S000009,5,No
D0007,S000092,5,No
D0007,S000086,5,No
D0008,S000005,6,No
D0008,S000015,6,No
D0008,S000009,5,No
D0008,S000092,4,No
D0009,S000041,10,Yes
D0009,S000025,7,No
D0009,S000004,8,No
D0009,S000007,8,No
D0009,S000001,6,No
D0009,S000005,5,No
D0010,S000117,7,No
D0010,S000069,7,No
D0010,S000114,6,No
D0010,S000134,5,No
D0011,S000002,8,No
D0011,S000070,7,No
D0011,S000078,7,No
D0011,S000072,7,No
D0011,S000071,6,No
D0012,S000254,8,No
D0012,S000007,7,No
D0012,S000014,6,No
D0012,S000005,6,No
D0012,S000098,5,No
D0013,S000018,8,No
D0013,S000052,7,No
D0013,S000001,5,No
D0013,S000117,4,No
D0014,S000001,7,No
D0014,S000011,6,No
D0014,S000015,6,No
D0014,S000061,5,No
D0014,S000243,5,No
D0015,S000265,10,Yes
D0015,S000001,5,No
D0015,S000081,7,No
D0015,S000070,6,No
D0015,S000163,5,No
D0016,S000001,6,No
D0016,S000023,6,No
D0016,S000036,7,No
D0016,S000026,6,No
D0016,S000032,5,No
D0016,S000005,5,No
D0016,S000011,4,No
D0017,S000001,8,No
D0017,S000011,7,No
D0017,S000061,7,No
D0017,S000030,6,No
D0017,S000032,5,No
D0017,S000023,7,No
D0017,S000005,6,No
D0017,S000003,5,No
D0018,S000260,9,Yes
D0018,S000024,7,No
D0018,S000040,6,No
D0018,S000030,6,No
D0018,S000005,5,No
D0019,S000255,9,Yes
D0019,S000109,7,No
D0019,S000035,5,No
D0019,S000023,4,No
D0020,S000109,8,Yes
D0020,S000120,7,No
D0020,S000001,6,No
D0020,S000110,6,No
D0021,S000001,5,No
D0021,S000167,5,No
D0021,S000009,4,No
D0021,S000179,5,No
D0022,S000021,8,No
D0022,S000007,7,No
D0022,S000005,6,No
D0022,S000004,6,No
D0022,S000259,6,No
D0023,S000001,7,No
D0023,S000266,6,No
D0023,S000061,5,No
D0023,S000011,5,No
D0024,S000237,9,Yes
D0024,S000244,7,No
D0024,S000241,6,No
D0024,S000242,5,No
D0024,S000226,5,No
D0025,S000087,8,No
D0025,S000089,8,No
D0025,S000092,6,No
D0025,S000086,6,No
D0025,S000001,4,No
D0026,S000108,9,Yes
D0026,S000092,5,No
D0026,S000009,4,No
D0026,S000007,4,No
D0027,S000124,9,Yes
D0027,S000110,6,No
D0027,S000112,5,No
D0028,S000125,9,Yes
D0028,S000109,5,No
D0028,S000110,6,No
D0029,S000234,9,Yes
D0029,S000010,7,No
D0029,S000226,7,No
D0029,S000007,5,No
D0029,S000005,5,No
D0029,S000129,5,No
D0029,S000231,4,No
D0030,S000234,9,Yes
D0030,S000010,8,No
D0030,S000226,8,No
D0030,S000007,7,No
D0030,S000235,6,No
D0031,S000061,5,No
D0031,S000064,4,No
D0031,S000210,4,No
D0031,S000005,3,No
D0032,S000046,7,No
D0032,S000047,7,No
D0032,S000042,6,No
D0032,S000005,4,No
D0033,S000055,10,Yes
D0033,S000047,9,Yes
D0033,S000060,8,No
D0033,S000026,6,No
D0034,S000066,10,Yes
D0034,S000068,9,Yes
D0034,S000067,8,No
D0034,S000073,7,No
D0034,S000077,6,No
D0035,S000018,6,No
D0035,S000243,6,No
D0035,S000005,5,No
D0035,S000247,5,No
D0035,S000009,4,No
D0036,S000008,7,No
D0036,S000005,4,No
D0036,S000042,4,No
D0037,S000042,8,No
D0037,S000024,6,No
D0037,S000028,6,No
D0037,S000041,5,No
D0038,S000028,9,Yes
D0038,S000026,7,No
D0038,S000029,7,No
D0038,S000023,5,No
D0039,S000019,7,No
D0039,S000008,6,No
D0039,S000005,6,No
D0039,S000229,5,No
D0039,S000091,4,No
D0040,S000020,7,No
D0040,S000007,6,No
D0040,S000227,7,No
D0040,S000016,5,No
D0040,S000228,5,No
D0041,S000131,8,Yes
D0041,S000138,6,No
D0041,S000139,5,No
D0042,S000131,8,Yes
D0042,S000132,7,No
D0042,S000138,7,No
D0042,S000005,5,No
D0043,S000143,9,Yes
D0043,S000131,8,No
D0044,S000140,6,No
D0044,S000146,5,No
D0045,S000005,5,No
D0045,S000092,4,No
D0045,S000008,4,No
D0046,S000092,7,No
D0046,S000095,5,No
D0046,S000096,6,No
D0046,S000086,4,No
D0047,S000095,9,Yes
D0047,S000101,4,No
D0047,S000032,3,No
D0048,S000092,7,No
D0048,S000094,6,No
D0048,S000089,5,No
D0048,S000091,5,No
D0049,S000063,10,Yes
D0049,S000079,6,No
D0049,S000086,5,No
D0049,S000076,4,No
D0050,S000070,10,Yes
D0050,S000071,6,No
D0050,S000080,5,No
D0051,S000014,8,Yes
D0051,S000005,7,No
D0051,S000006,6,No
D0051,S000121,4,No
D0052,S000140,6,No
D0052,S000134,5,No
D0052,S000005,4,No
D0053,S000005,6,No
D0053,S000069,6,No
D0053,S000014,5,No
D0053,S000006,5,No
D0054,S000228,8,Yes
D0054,S000005,4,No
D0054,S000019,4,No
D0055,S000017,8,No
D0055,S000007,6,No
D0055,S000145,5,No
D0056,S000137,6,No
D0056,S000140,5,No
D0056,S000074,4,No
D0057,S000224,7,No
D0057,S000219,5,No
D0058,S000014,8,Yes
D0058,S000005,6,No
D0058,S000017,5,No
D0058,S000015,4,No
D0059,S000131,6,No
D0059,S000140,6,No
D0059,S000005,5,No
D0059,S000014,5,No
D0060,S000015,6,No
D0060,S000014,5,No
D0060,S000005,4,No
D0061,S000118,7,No
D0061,S000132,5,No
D0062,S000149,9,Yes
D0062,S000158,8,No
D0062,S000159,6,No
D0062,S000152,5,No
D0062,S000005,5,No
D0062,S000160,7,No
D0063,S000150,9,Yes
D0063,S000164,6,No
D0063,S000157,5,No
D0063,S000152,5,No
D0064,S000151,9,Yes
D0064,S000048,5,No
D0064,S000026,4,No
D0065,S000155,8,Yes
D0065,S000161,6,No
D0065,S000153,4,No
D0065,S000154,5,No
D0066,S000150,6,No
D0066,S000164,4,No
D0067,S000163,6,No
D0067,S000152,5,No
D0067,S000156,5,No
D0068,S000162,9,Yes
D0068,S000156,6,No
D0068,S000157,4,No
D0069,S000152,9,Yes
