condition_id,condition_name,what_to_do,what_to_avoid,diet_recommendation,food_to_limit,home_care,monitoring_advice
D0001,Malaria,"Rest, complete the full course of prescribed antimalarial medicine, and stay well hydrated.",Avoid skipping doses and avoid mosquito exposure during recovery.,"Fluids, light khichdi, fruits like banana and papaya.","Heavy, oily, or spicy food during fever episodes.",Use mosquito nets and repellents; monitor temperature regularly.,"Watch for recurring fever, confusion, or reduced urination and seek care if these occur."
D0002,Dengue Fever,"Rest, drink plenty of fluids, and monitor for warning signs.","Avoid aspirin and ibuprofen, as they can increase bleeding risk.","Coconut water, ORS, papaya leaf extract if advised by a doctor, soft fruits.",Oily and spicy food.,Monitor platelet counts as advised; watch for bleeding gums or bruising.,"Seek immediate care if there is severe abdominal pain, persistent vomiting, or bleeding."
D0003,Chikungunya,Rest and stay hydrated; use paracetamol for pain if needed.,Avoid aspirin and ibuprofen unless advised by a doctor.,"Anti-inflammatory foods, fruits, and vegetables.",Processed and sugary foods.,Gentle joint movement once acute pain reduces; avoid overexertion.,Track joint pain duration; prolonged pain beyond a few weeks should be reviewed by a doctor.
D0004,Typhoid Fever,Complete the full antibiotic course as prescribed and rest.,Avoid raw or street food and unclean water during recovery.,"Soft, easily digestible food like khichdi, boiled vegetables, curd.","Spicy, oily, and raw food.",Maintain strict hand hygiene; isolate from food preparation until cleared.,Watch for recurring fever or abdominal pain after finishing treatment.
D0005,Cholera,Begin oral rehydration solution immediately and seek medical care.,Avoid untreated water and unhygienic food.,"ORS, boiled water, simple rice-based fluids.",Raw or unclean food and water.,Maintain strict hygiene and safe drinking water practices.,Monitor urine output and alertness closely; seek emergency care if dehydration worsens.
D0006,Hepatitis A,Rest and stay hydrated; avoid alcohol completely.,"Avoid alcohol, fatty food, and unnecessary medications that affect the liver.","Light, low-fat meals, fruits, and fluids.","Fried and fatty food, alcohol.",Practice good hand hygiene to prevent spreading infection to others.,Monitor jaundice and appetite; seek care if symptoms worsen.
D0007,Hepatitis B,Follow up regularly with a doctor for liver function monitoring.,Avoid alcohol and unprescribed medications that stress the liver.,"Balanced, low-fat diet.",Alcohol and fatty food.,Get close contacts vaccinated; avoid sharing personal items like razors.,Track liver function tests periodically as advised.
D0008,Hepatitis C,Follow up with a doctor about antiviral treatment options.,Avoid alcohol.,"Balanced, liver-friendly diet.",Alcohol and processed food.,Avoid sharing needles or personal items that may carry blood.,Regular liver function monitoring as advised.
D0009,Tuberculosis (TB),"Complete the full course of anti-TB medication exactly as prescribed, even after feeling better.",Avoid stopping medication early and avoid alcohol during treatment.,"Protein-rich, nutritious diet to support recovery.",Alcohol and smoking.,Cover mouth while coughing; ensure good room ventilation.,Track weight gain and symptom improvement; report any new symptoms to the doctor.
D0010,Leprosy,Complete the full multi-drug therapy course as prescribed.,Avoid stopping treatment early.,"Balanced, nutritious diet.",No specific restriction beyond general healthy eating.,Protect numb areas of skin from injury and monitor for wounds.,Regular follow-up with a doctor to monitor nerve function.
D0011,Japanese Encephalitis,Seek hospital care promptly; supportive treatment is often needed.,Avoid mosquito exposure during recovery.,"Nutritious, easily digestible food.",No specific restriction.,Use mosquito prevention measures; ensure vaccination where recommended.,Monitor for any lasting neurological symptoms and follow up with a specialist.
D0012,Kala-azar (Visceral Leishmaniasis),Complete the prescribed treatment course fully.,Avoid sandfly exposure during recovery.,Protein and iron-rich diet to support recovery.,No specific restriction beyond general healthy eating.,Use protective measures against sandfly bites.,"Monitor weight, appetite, and spleen size as advised by the doctor."
D0013,Lymphatic Filariasis,Follow prescribed medication and limb care routines.,Avoid standing for long periods without elevating the limb if swelling is present.,"Balanced diet, adequate fluids.",Excess salt if swelling is significant.,Elevate and gently exercise the affected limb; keep skin clean to prevent secondary infection.,Monitor swelling progression and report skin changes to a doctor.
