state,district,city,latitude,longitude,climate_region,season_context
Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,Semi-arid / Western,"Monsoon vector-borne risk (Dengue/Malaria), summer heat exhaustion"
Gujarat,Surat,Surat,21.1702,72.8311,Coastal / Humid,"Seasonal viral flu, waterborne GI infections during rains"
Gujarat,Vadodara,Vadodara,22.3072,73.1812,Semi-arid / Western,"Viral fevers, seasonal allergic rhinitis, monsoon GI ailments"
Gujarat,Rajkot,Rajkot,22.3039,70.8022,Semi-arid / Saurashtra,"Summer heat waves, water scarcity GI concerns, seasonal fevers"
Gujarat,Bhavnagar,Bhavnagar,21.7645,72.1519,Coastal Saurashtra,"Allergic rhinitis, seasonal gastro, humidity skin rashes"
Gujarat,Jamnagar,Jamnagar,22.4707,70.0577,Coastal Saurashtra,"Vector-borne illnesses, coastal humidity allergies"
Gujarat,Junagadh,Junagadh,21.5222,70.4579,Saurashtra Foothills,"Seasonal flu, vector-borne risks post-monsoon"
Gujarat,Gandhinagar,Gandhinagar,23.2156,72.6369,North Gujarat Plains,"Seasonal flu, viral fevers, summer heat risks"
Gujarat,Anand,Anand,22.5645,72.9289,Central Gujarat,"Monsoon gastroenteritis, mosquito-borne fevers"
Gujarat,Navsari,Navsari,20.9467,72.952,South Gujarat Coastal,"Humidity fungal infections, waterborne infections"
Gujarat,Morbi,Morbi,22.812,70.8377,Semi-arid Plains,"Industrial dust respiratory irritation, summer heat"
Gujarat,Bharuch,Bharuch,21.7051,72.9959,Narmada Estuary,"Waterborne digestive concerns, seasonal colds"
Gujarat,Porbandar,Porbandar,21.6417,69.6293,Coastal Saurashtra,"Marine humidity skin issues, seasonal fevers"
Gujarat,Mehsana,Mehsana,23.588,72.3693,North Gujarat,"Groundwater mineral-related kidney calculi, summer heat"
Gujarat,Kutch,Bhuj,23.242,69.6669,Arid / Rann Margin,"Extreme diurnal temperature swings, dry skin, dehydration"
Maharashtra,Mumbai,Mumbai,19.076,72.8777,Tropical Coastal,"Monsoon Leptospirosis, Dengue, Malaria, humidity skin issues"
Maharashtra,Pune,Pune,18.5204,73.8567,Deccan Plateau / Moderate,"Seasonal viral rhinitis, winter respiratory allergies"
Maharashtra,Nagpur,Nagpur,21.1458,79.0882,Central / Extreme Summer,"Severe summer heat stroke risk, viral conjunctivitis"
Maharashtra,Thane,Thane,19.2183,72.9781,Coastal Urban,"Monsoon waterborne ailments, high humidity respiratory allergies"
Maharashtra,Nashik,Nashik,19.9975,73.7898,Western Ghats Foothills,"Winter respiratory infections, agro-chemical allergic contact dermatitis"
Maharashtra,Chhatrapati Sambhajinagar,Aurangabad,19.8762,75.3433,Marathwada Semi-arid,"Summer waterborne illnesses, vector-borne fevers"
Maharashtra,Solapur,Solapur,17.6599,75.9064,Southern Semi-arid,"Extreme heat dehydration, seasonal viral illnesses"
Maharashtra,Kolhapur,Kolhapur,16.705,74.2433,Western Maharashtra,"Heavy monsoon waterborne infections, joint stiffness in cold rains"
Maharashtra,Amravati,Amravati,20.9374,77.7796,Vidarbha Plateau,"Summer heat hyperthermia, seasonal flu"
Maharashtra,Nanded,Nanded,19.1383,77.321,Marathwada,"Monsoon enteric fevers, summer heat exhaustion"
Delhi,New Delhi,New Delhi,28.6139,77.209,Subtropical Continental,"Winter particulate air smog (Asthma/COPD), monsoon Dengue/Chikungunya"
Delhi,North Delhi,Civil Lines,28.685,77.218,Urban Continental,"Severe winter respiratory allergies, heat wave dehydration"
Delhi,South Delhi,Saket,28.5244,77.2066,Urban Continental,"Smog-induced bronchial hyperreactivity, seasonal viral fevers"
Delhi,East Delhi,Preet Vihar,28.6415,77.2946,Yamuna Floodplain / Humid,"Post-monsoon vector-borne surges, respiratory distress in winter"
Delhi,West Delhi,Rajouri Garden,28.65,77.12,Urban Continental,"Winter bronchospasm, summer gastrointestinal infections"
Rajasthan,Jaipur,Jaipur,26.9124,75.7873,Arid / Semi-arid,"Dust storm respiratory allergies, extreme summer dehydration"
Rajasthan,Jodhpur,Jodhpur,26.2389,73.0243,Thar Desert Margin,"Heat exhaustion, seasonal fevers, dust keratoconjunctivitis"
Rajasthan,Kota,Kota,25.2138,75.8648,Hadoti Semi-humid,"Monsoon waterborne enteric infections, student stress/anxiety management"
Rajasthan,Bikaner,Bikaner,28.0229,73.3119,Thar Desert Core,"Severe heat wave hyperthermia, dry eye syndrome, seasonal flu"
Rajasthan,Ajmer,Ajmer,26.4499,74.6399,Aravalli Semi-arid,"Seasonal gastrointestinal illnesses, allergic conjunctivitis"
Rajasthan,Udaipur,Udaipur,24.5854,73.7125,Mewar Lake Basin,"Monsoon vector-borne infections, winter cold viral fevers"
Rajasthan,Alwar,Alwar,27.553,76.6346,Northeast Plains,"Winter respiratory illnesses, summer dehydration"
Uttar Pradesh,Lucknow,Lucknow,26.8467,80.9462,Gangetic Plains,"Winter fog respiratory triggers, monsoon enteric infections"
Uttar Pradesh,Kanpur,Kanpur,26.4499,80.3319,Industrial Gangetic,"Airborne particulate asthma, monsoon gastrointestinal ailments"
Uttar Pradesh,Varanasi,Varanasi,25.3176,82.9739,Gangetic Basin,"Monsoon waterborne infections, seasonal flu, heat fatigue"
Uttar Pradesh,Agra,Agra,27.1767,78.0081,Yamuna Semi-arid,"Winter smog bronchitis, intense summer heat strokes"
Uttar Pradesh,Prayagraj,Prayagraj,25.4358,81.8463,Gangetic Confluence,"Seasonal viral fevers, monsoon waterborne diarrhea"
Uttar Pradesh,Meerut,Meerut,28.9845,77.7064,Upper Gangetic,"Winter respiratory allergies, dengue post-monsoon"
Uttar Pradesh,Ghaziabad,Ghaziabad,28.6692,77.4538,NCR Urban Plain,"High AQI winter respiratory exacerbations, viral infections"
Uttar Pradesh,Gautam Buddha Nagar,Noida,28.5355,77.391,NCR Urban,"Winter particulate air smog, seasonal viral rhinitis"
Uttar Pradesh,Gorakhpur,Gorakhpur,26.7606,83.3732,Terai Sub-Himalayan,"Seasonal vector-borne encephalitis risk, monsoon waterborne illness"
Uttar Pradesh,Bareilly,Bareilly,28.367,79.4304,Rohilkhand Plains,"Winter bronchitis, seasonal viral fevers"
Uttar Pradesh,Aligarh,Aligarh,27.8974,78.088,Central Gangetic,"Dust allergies, summer dehydration"
Uttar Pradesh,Jhansi,Jhansi,25.4484,78.5685,Bundelkhand Rocky,"Intense summer heat exhaustion, water scarcity GI ailments"
Karnataka,Bengaluru Urban,Bengaluru,12.9716,77.5946,Tropical Savanna Plateau,"Pollen allergy rhinitis, weather fluctuation respiratory symptoms"
Karnataka,Mysuru,Mysuru,12.2958,76.6394,Southern Plateau,"Seasonal viral flu, allergic sinusitis during temperature drops"
Karnataka,Dakshina Kannada,Mangaluru,12.9141,74.856,Malabar Coastal,"Monsoon Dengue/Malaria, fungal dermatophytosis in high humidity"
Karnataka,Dharwad,Hubballi-Dharwad,15.3647,75.124,North Karnataka Plateau,"Seasonal fevers, summer heat fatigue"
Karnataka,Belagavi,Belagavi,15.8497,74.4977,Western Ghats Transition,"Winter viral respiratory illnesses, heavy rain mold allergies"
