disease_id,disease_name,disease_name_hi,disease_name_gu,icd_code,category,description,body_system,source
D0001,Malaria,मलेरिया,મેલેરિયા,B54,Infectious Diseases,"A mosquito-borne parasitic infection causing cyclical fever, chills, and sweating; common across many parts of India.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0002,Dengue Fever,डेंगू बुखार,ડેંગ્યુ તાવ,A90,Infectious Diseases,"A mosquito-borne viral infection causing high fever, joint pain, rash, and sometimes dangerously low platelet counts.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0003,Chikungunya,चिकनगुनिया,ચિકનગુનિયા,A92.0,Infectious Diseases,"A mosquito-borne viral illness causing fever and severe, often prolonged joint pain.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0004,Typhoid Fever,टाइफाइड बुखार,ટાઇફોઇડ તાવ,A01.0,Infectious Diseases,"A bacterial infection spread through contaminated food or water, causing prolonged fever and abdominal symptoms.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0005,Cholera,हैजा,કોલેરા,A00,Infectious Diseases,A severe bacterial intestinal infection causing profuse watery diarrhea and rapid dehydration.,Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0006,Hepatitis A,हेपेटाइटिस ए,હિપેટાઇટિસ એ,B15,Infectious Diseases,"A viral liver infection spread through contaminated food or water, common in areas with poor sanitation.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0007,Hepatitis B,हेपेटाइटिस बी,હિપેટાઇટિસ બી,B16,Infectious Diseases,A viral liver infection spread through blood or body fluids that can become chronic.,Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0008,Hepatitis C,हेपेटाइटिस सी,હિપેટાઇટિસ સી,B17.1,Infectious Diseases,A viral liver infection spread mainly through blood contact that can lead to long-term liver damage.,Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0009,Tuberculosis (TB),क्षय रोग (टीबी),ક્ષય રોગ (ટીબી),A15,Infectious Diseases,"A bacterial infection, usually of the lungs, causing persistent cough, weight loss, and fever; a major public health concern in India.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0010,Leprosy,कुष्ठ रोग,રક્તપિત્ત,A30,Infectious Diseases,"A chronic bacterial infection affecting skin and nerves, treatable with multi-drug therapy.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0011,Japanese Encephalitis,जापानी इंसेफेलाइटिस,જાપાનીઝ એન્સેફેલાઇટિસ,A83.0,Infectious Diseases,"A mosquito-borne viral infection that can cause brain inflammation, more common in certain rural and agricultural regions.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0012,Kala-azar (Visceral Leishmaniasis),काला-अज़ार,કાળા-આઝાર,B55.0,Infectious Diseases,"A sandfly-borne parasitic infection causing prolonged fever, weight loss, and enlarged spleen; endemic in parts of Bihar and eastern India.",Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
D0013,Lymphatic Filariasis,फाइलेरिया,ફાઇલેરિયા,B74,Infectious Diseases,A mosquito-borne parasitic infection that can cause chronic swelling of the limbs (elephantiasis).,Infectious Diseases,Draft - pending clinical review (verify ICD codes against WHO ICD-10 before production use)
