disease_id,disease_name,disease_name_hi,disease_name_gu,category,category_icon,priority,icd_code,communicable,outbreak_prone,specialist,urgency,symptoms,medicines,tests,diet
CVD001,Hypertension (High Blood Pressure),हाई ब्लड प्रेशर / उच्च रक्तचाप (Hypertension),હાઈ બ્લડ પ્રેશર (Hypertension),Cardiovascular Diseases,🫀,Very High,I10,False,False,Cardiologist / General Physician,Moderate Attention (Regular Monitoring),"['Headache', 'Dizziness', 'Shortness of breath', 'Chest discomfort', 'Blurred vision', 'Fatigue']","['Amlodipine 5mg', 'Telmisartan 40mg', 'Hydrochlorothiazide 12.5mg']","['Blood Pressure Monitoring', 'Lipid Profile', 'ECG', 'Kidney Function Test (Serum Creatinine)']","Low sodium DASH diet, increase potassium rich fruits, avoid fried and processed foods."
CVD002,Ischemic Heart Disease (IHD),इस्केमिक हृदय रोग (Ischemic Heart Disease),ઇસ્કેમિક હૃદય રોગ (IHD),Cardiovascular Diseases,🫀,Very High,I25.9,False,False,Cardiologist,Urgent Clinical Attention,"['Chest pain (Angina)', 'Shortness of breath', 'Pain radiating to left arm/jaw', 'Fatigue', 'Cold sweat', 'Dizziness']","['Aspirin 75mg', 'Atorvastatin 20mg', 'Sorbitrate (Isosorbide Dinitrate)', 'Metoprolol 25mg']","['12-Lead ECG', 'Troponin I/T', '2D Echocardiogram', 'Coronary Angiography', 'TMT Stress Test']","Strict low-fat, low-cholesterol heart-healthy diet, Mediterranean diet with nuts and fiber."
CVD003,Coronary Artery Disease (CAD),कोरोनरी आर्टरी रोग (Coronary Artery Disease),કોરોનરી આર્ટરી ડિસીઝ (CAD),Cardiovascular Diseases,🫀,Very High,I25.1,False,False,Cardiologist,Urgent Clinical Attention,"['Chest tightness', 'Shortness of breath with exertion', 'Fatigue', 'Heart palpitations', 'Dizziness']","['Clopidogrel 75mg', 'Atorvastatin 40mg', 'Rosuvastatin 10mg', 'Nitroglycerin SL']","['CT Coronary Angiogram', 'Lipid Profile', 'ECG', 'Echocardiogram']","Zero trans-fat diet, rich in garlic, omega-3, green leafy vegetables and oats."
CVD004,Acute Myocardial Infarction (Heart Attack),हार्ट अटैक / मायोकार्डियल इन्फ्रक्शन (Heart Attack),હાર્ટ એટેક (Heart Attack),Cardiovascular Diseases,🫀,Very High,I21.9,False,False,Interventional Cardiologist / Emergency Physician,Critical / Emergency Immediate Hospitalization,"['Severe crushing chest pain', 'Pain radiating to jaw, neck, left arm', 'Shortness of breath', 'Cold sweating', 'Nausea', 'Fainting']","['Aspirin 300mg chewable (Emergency)', 'Clopidogrel 300mg', 'Atorvastatin 80mg', 'Sublingual Nitroglycerin']","['Emergency 12-Lead ECG', 'High-Sensitivity Troponin-T/I', 'CK-MB', 'Emergency Angiography']",Emergency cardiac protocol; post-recovery strict cardiac rehabilitation diet.
CVD005,Heart Failure,हार्ट फेलियर (Heart Failure),હાર્ટ ફેલિયર (Heart Failure),Cardiovascular Diseases,🫀,High,I50.9,False,False,Cardiologist,Urgent Clinical Attention,"['Shortness of breath while lying flat', 'Swollen legs/ankles (Edema)', 'Rapid weight gain', 'Persistent cough with pink phlegm', 'Extreme fatigue']","['Furosemide (Lasix) 40mg', 'Spironolactone 25mg', 'Sacubitril/Valsartan', 'Dapagliflozin 10mg']","['NT-proBNP Serum Marker', 'Echocardiogram (EF Calculation)', 'Chest X-Ray', 'Serum Electrolytes']","Strict fluid restriction (< 1.5 L/day), strict low salt intake (< 2g/day)."
CVD006,Stroke (Cerebrovascular Accident),स्ट्रोक / लकवा / पक्षाघात (Brain Stroke),બ્રેઈન સ્ટ્રોક / લકવો (Stroke),Cardiovascular Diseases,🫀,Very High,I64,False,False,Neurologist / Emergency Stroke Team,Critical / Emergency Immediate Hospitalization,"['Sudden facial drooping (FAST)', 'Arm weakness or numbness', 'Slurred speech / difficulty speaking', 'Sudden severe headache', 'Loss of balance']","['tPA Thrombolysis (Within 4.5h window)', 'Aspirin 150mg', 'Atorvastatin 40mg', 'Mannitol (if cerebral edema)']","['Emergency Non-Contrast Brain CT Scan', 'Brain MRI / MRA', 'Carotid Doppler Ultrasound']","Swallowing-safe soft pureed diet, low sodium, neuro-protective diet."
CVD008,Rheumatic Heart Disease (RHD),रुमेटिक हृदय रोग (Rheumatic Heart Disease),રૂમેટિક હાર્ટ ડિસીઝ (RHD),Cardiovascular Diseases,🫀,High,I09.9,False,False,Cardiologist,Specialist Consultation,"['History of sore throat / fever', 'Heart murmur', 'Joint pain and swelling', 'Shortness of breath', 'Chest palpitations']","['Benzathine Penicillin G (Monthly prophylaxis)', 'Digoxin', 'Diuretics']","['ASO Titre Test', '2D Echocardiogram (Valve Assessment)', 'ECG', 'Throat Culture']","Well-balanced protein and micronutrient diet, monitor salt intake."
CAN001,Breast Cancer,स्तन कैंसर (Breast Cancer),સ્તન કેન્સર (Breast Cancer),Cancer & Oncology,🎗️,Very High,C50.9,False,False,Surgical / Medical Oncologist,Urgent Oncology Consultation,"['Painless breast lump or thickening', 'Change in breast shape/size', 'Nipple discharge (bloody/clear)', 'Skin dimpling / orange peel texture', 'Swollen underarm lymph nodes']","['Tamoxifen 20mg', 'Anastrozole 1mg', 'Trastuzumab', 'Chemotherapy regimens (Doxorubicin/Paclitaxel)']","['Digital Bilateral Mammography', 'Breast Ultrasound', 'Tru-Cut Biopsy / FNAC', 'ER/PR/HER2 Neu IHC Panel']","Antioxidant-rich whole food diet, cruciferous vegetables (broccoli, cabbage), zero alcohol."
CAN002,Cervical Cancer,गर्भाशय ग्रीवा का कैंसर (Cervical Cancer),ગર્ભાશયના મુખનું કેન્સર (Cervical Cancer),Cancer & Oncology,🎗️,Very High,C53.9,False,False,Gynaecological Oncologist,Urgent Oncology Consultation,"['Abnormal vaginal bleeding between periods', 'Post-coital bleeding', 'Foul-smelling vaginal discharge', 'Pelvic pain', 'Pain during intercourse']","['Cisplatin', 'Paclitaxel', 'Carboplatin', 'Bevacizumab']","['Pap Smear Screening', 'HPV DNA High-Risk Testing', 'Colposcopy with Directed Biopsy', 'Pelvic MRI']","High folate and carotenoid rich foods (spinach, carrots, citrus fruits)."
CAN003,Oral / Mouth Cancer,मुंह का कैंसर (Oral / Mouth Cancer),મોંનું કેન્સર (Oral Cancer),Cancer & Oncology,🎗️,Very High,C06.9,False,False,Head & Neck Oncosurgeon,Urgent Oncology Consultation,"['Non-healing mouth ulcer (> 2 weeks)', 'White (Leukoplakia) or red patches in mouth', 'Difficulty chewing or swallowing', 'Lump in neck/jaw', 'Restricted mouth opening (Trismus)']","['Chemotherapy (Cisplatin + 5-FU)', 'Cetuximab', 'Pain management (Morphine/Tramadol)']","['Incisional Biopsy of Oral Lesion', 'CT / MRI Neck and Face', 'PET-CT Whole Body']","Soft, non-spicy, non-acidic nutrient-dense diet; immediate cessation of tobacco, betel nut (Gutkha), and smoking."
